n,mae,smape,wmape,kpi,target_col,horizon
21151.0,0.005152929668276839,1.8399104686572472,0.11340658044899024,FX총액,log1p_FX총액,1
19149.0,0.005583730421353854,1.8385371000883315,0.12343471678299808,FX총액,log1p_FX총액,2
17162.0,0.005628612184391186,1.838709377964777,0.12390689407954829,FX총액,log1p_FX총액,3
21151.0,0.4957230767459578,0.8226641269311793,0.10718712331607703,대출총잔액,log1p_대출총잔액,1
19149.0,0.5984703340035511,0.8331608433312716,0.12947678354861172,대출총잔액,log1p_대출총잔액,2
17162.0,0.639868393289884,0.8338133213662439,0.1379335490519464,대출총잔액,log1p_대출총잔액,3
21151.0,0.42546251670923063,1.0604695806979756,0.14803770937621552,디지털거래금액,log1p_디지털거래금액,1
19149.0,0.4912191267907867,1.0658738586911218,0.1703713700295058,디지털거래금액,log1p_디지털거래금액,2
17162.0,0.5163248287816671,1.063832546688205,0.177991301129525,디지털거래금액,log1p_디지털거래금액,3
21151.0,0.8609446319916186,1.3076823668848654,0.4279534393588879,순유입,slog1p_순유입,1
19149.0,0.9528648042381096,1.3535074852852809,0.47113963404169573,순유입,slog1p_순유입,2
17162.0,0.9564633695166745,1.3461079305727737,0.47146515906427816,순유입,slog1p_순유입,3
21151.0,0.366160747381621,0.952774356772331,0.1498637729433984,예금총잔액,log1p_예금총잔액,1
19149.0,0.4273558995579216,0.9647240174602948,0.17429351885037592,예금총잔액,log1p_예금총잔액,2
17162.0,0.4361306340593628,0.9612383393760299,0.17721243675104661,예금총잔액,log1p_예금총잔액,3
21151.0,0.17147235715504675,1.1029060347675554,0.13386778887084136,카드총사용,log1p_카드총사용,1
19149.0,0.1985008170164513,1.1075630902806075,0.1539144357608931,카드총사용,log1p_카드총사용,2
17162.0,0.20979813749634216,1.103977373038966,0.1611530808055648,카드총사용,log1p_카드총사용,3
